restaurant_name,food_name,serving_size,serving_unit,calories,carbohydrates,sugars,fats,saturated_fats,cholesterol,sodium,fiber,potassium,proteins,carb_percent,fat_percent,protein_percent
Outback Steakhouse,"Outback Center, Cut Sirloin, 11 oz",1.0,Serving,221.0,0.0,8.065,13.4,4.92,69.7,52.7,0.0,340.85,23.49,0.0,54.57013574660634,42.515837104072396
Outback Steakhouse,"Outback Center, Cut Sirloin, 6 oz",1.0,Serving,221.0,0.0,8.065,13.4,4.92,69.7,52.7,0.0,340.85,23.49,0.0,54.57013574660634,42.515837104072396
Outback Steakhouse,"Outback Ribs, 1/3 Rack (Regional)",1.0,Serving,1954.19,145.37,18.72,146.08,51.32,163.24,3313.59,9.1,545.16,18.36,29.755550893208948,67.27697920877704,3.758078794794774
Outback Steakhouse,"Outback Style Prime Rib, 12 oz",1.0,Serving,1954.19,145.37,18.72,146.08,51.32,163.24,3313.59,9.1,545.16,18.36,29.755550893208948,67.27697920877704,3.758078794794774
Outback Steakhouse,"Outback Style Prime Rib, 16 oz",1.0,Serving,1954.19,145.37,18.72,146.08,51.32,163.24,3313.59,9.1,545.16,18.36,29.755550893208948,67.27697920877704,3.758078794794774
Outback Steakhouse,The Outbacker Burger with American Cheese,1.0,Serving,23.68,2.14,1.59,0.13,0.08,1.76,244.48,0.0,46.08,3.6,36.14864864864865,4.940878378378378,60.810810810810814
Outback Steakhouse,Outback Center Cut Sirloin 12 oz (Regional),1.0,Serving,221.0,0.0,8.065,13.4,4.92,69.7,52.7,0.0,340.85,23.49,0.0,54.57013574660634,42.515837104072396
Outback Steakhouse,"Outback Center Cut Sirloin, 5 oz (Regional)",1.0,Serving,221.0,0.0,8.065,13.4,4.92,69.7,52.7,0.0,340.85,23.49,0.0,54.57013574660634,42.515837104072396
Outback Steakhouse,"Outback Center Cut Sirloin, 9 oz (Regional)",1.0,Serving,221.0,0.0,8.065,13.4,4.92,69.7,52.7,0.0,340.85,23.49,0.0,54.57013574660634,42.515837104072396
Outback Steakhouse,"Outback Style Prime Prime, 10 oz(Regional)",1.0,Serving,1954.19,145.37,18.72,146.08,51.32,163.24,3313.59,9.1,545.16,18.36,29.755550893208948,67.27697920877704,3.758078794794774
Outback Steakhouse,Asparagus,1.0,Serving,16.5,3.08,0.98,0.17,0.04,0.0,10.5,1.5,168.0,1.8,74.66666666666667,9.272727272727273,43.63636363636364
Outback Steakhouse,Broccoli,1.0,Serving,3.5,0.72,0.14,0.04,0.01,0.0,4.1,0.33,29.3,0.24,82.28571428571428,10.285714285714285,27.42857142857143
Red Lobster,Lobster Dip,1.0,serving,121.55,2.65,2.42,1.65,0.26,76.5,192.95,0.0,176.8,22.45,8.720691073632251,12.217194570135746,73.87906211435623
Red Lobster,Lobster Flatbread,1.0,serving,339.6,6.43,1.15,19.74,3.1,117.16,432.51,0.91,350.76,32.19,7.5736160188457,52.31448763250883,37.91519434628975
Red Lobster,Lobster Linguini,1.0,serving,231.6,8.02,4.53,14.37,8.33,73.83,315.88,0.33,306.31,14.07,13.851468048359239,55.84196891191709,24.300518134715027
Red Lobster,Lobster Punch,1.0,serving,390.52,9.52,2.75,28.2,6.81,224.83,1353.22,0.89,380.7,23.55,9.7511010959746,64.99026938441052,24.12168390863464
Red Lobster,Lobster Dip Platter,1.0,platter,1061.74,99.12,8.89,54.54,16.8,131.7,2005.14,9.73,1564.34,43.51,37.34247555898808,46.231657467930006,16.391960366944826
Red Lobster,Lobster Lover's Duo,1.0,serving,231.6,8.02,4.53,14.37,8.33,73.83,315.88,0.33,306.31,14.07,13.851468048359239,55.84196891191709,24.300518134715027
Red Lobster,Lobster Pappardelle Pasta,1.0,serving,180.78,34.4,2.42,1.45,0.21,45.54,8.28,0.89,33.12,7.11,76.11461444850094,7.218718884832392,15.73182874211749
Red Lobster,Thursday Lobster & Shrimp,1.0,serving,231.6,8.02,4.53,14.37,8.33,73.83,315.88,0.33,306.31,14.07,13.851468048359239,55.84196891191709,24.300518134715027
Red Lobster,Wednesday Steak & Lobster,1.0,serving,115.5,0.0,0.0,1.13,0.27,190.5,634.5,0.0,300.0,24.78,0.0,8.805194805194803,85.81818181818183
Red Lobster,Bar Harbor Lobster Bake,1.0,serving,306.47,18.29,2.09,18.58,3.01,84.12,396.15,1.53,215.52,16.27,23.87183084804385,54.563252520638216,21.235357457499916
Red Lobster,"Crabfest, Crab & Lobster Duo",1.0,serving,115.5,0.0,0.0,1.13,0.27,190.5,634.5,0.0,300.0,24.78,0.0,8.805194805194803,85.81818181818183
Red Lobster,"Grilled Lobster, Shrimp & Salmon",1.0,serving,377.28,41.41,15.27,12.21,1.7,232.89,1481.45,7.98,1102.57,31.65,43.90373197625106,29.126908396946572,33.5559796437659
Red Lobster,"Live Maine Lobster, Classic",1.0,serving,246.89,39.48,18.82,8.81,5.2,51.34,231.37,1.7,210.83,3.77,63.96370853416501,32.11551703187655,6.107983312406335
Red Lobster,"Live Maine Lobster, Stuffed",1.0,serving,121.55,2.65,2.42,1.65,0.26,76.5,192.95,0.0,176.8,22.45,8.720691073632251,12.217194570135746,73.87906211435623
Red Lobster,Kids Petite Maine Lobster Tail,1.0,serving,378.25,0.0,0.0,24.25,9.55,137.42,76.5,0.0,466.08,37.49,0.0,57.699933906146725,39.645736946463984
Red Lobster,Thursday Lobster & Shrimp with Broccoli,1.0,serving,186.67,12.35,2.06,2.53,0.71,239.13,1133.94,4.88,626.31,29.34,26.46381314619382,12.19799646434885,62.87030588739487
Red Lobster,Bar Harbor Lobster Bake Family Feast,1.0,order,121.55,2.65,2.42,1.65,0.26,76.5,192.95,0.0,176.8,22.45,8.720691073632251,12.217194570135746,73.87906211435623
Red Lobster,Side of Lobster-Topped Baked Potato,1.0,serving,344.61,34.58,1.76,18.09,9.88,52.33,517.87,3.13,767.44,11.99,40.13812715823684,47.24471141290154,13.917181741679
