restaurant_name,food_name,serving_size,serving_unit,calories,carbohydrates,sugars,fats,saturated_fats,cholesterol,sodium,fiber,potassium,proteins,carb_percent,fat_percent,protein_percent,score
Buca Di Beppo,Chicken Marsala,1.0,serving,355.65,8.08,0.81,26.87,9.66,67.5,441.79,0.52,235.52,15.24,9.087586109939547,67.99662589624631,17.140447068747367,0.428
Buca Di Beppo,Chicken Parmigiana,1.0,serving,324.36,17.36,4.44,16.92,4.05,85.86,852.24,1.43,465.87,25.71,21.408311752373905,46.94783573806882,31.7055123936367,0.407
Buca Di Beppo,Eggplant Parmigiana,1.0,serving,302.46,20.48,4.15,18.66,6.97,79.8,638.61,3.04,253.21,14.1,27.084573166699734,55.5246974806586,18.64709383058917,0.44
Buca Di Beppo,Fettuccine Alfredo,1.0,serving,1186.05,105.54,3.95,72.61,44.21,199.95,883.5,5.86,267.99,28.33,35.59377766535981,55.09801441760466,9.554403271362927,0.32
Buca Di Beppo,Fried Calamari,1.0,serving,356.47,37.45,0.14,14.51,1.33,192.16,252.36,1.33,261.99,17.61,42.02317165539877,36.634218868347965,19.760428647572024,0.757
Buca Di Beppo,Fried Mozzarella,1.0,serving,100.75,7.79,0.73,5.68,2.12,11.16,266.91,0.62,33.48,4.57,30.92803970223325,50.7394540942928,18.1439205955335,0.376
Buca Di Beppo,Garlic Bread,1.0,serving,150.5,17.94,1.59,7.14,2.27,0.0,233.92,1.08,44.29,3.59,47.68106312292359,42.69767441860465,9.541528239202657,0.44
Buca Di Beppo,Homemade Cheesecake,1.0,serving,479.75,44.87,36.53,32.34,17.75,115.74,289.32,1.64,208.42,7.08,37.41115164147993,60.66909848879626,5.903074517978114,0.485
Ruby's Diner,RubySpuds,1.0,Serving,150.0,17.56,7.67,8.43,1.84,8.5,134.65,0.6,190.07,5.97,46.82666666666666,50.580000000000005,15.919999999999998,0.205
Ruby's Diner,Ruby's Breakfast Burrito,1.0,Serving,656.82,72.25,1.45,28.07,12.26,230.14,1522.31,2.68,835.55,28.72,43.9998782010292,38.462592491093446,17.49033220669285,0.69
Ruby's Diner,"Ruby's Chili, Bowl",1.0,Serving,615.81,59.43,9.38,21.91,9.01,251.92,1593.7,1.82,584.56,35.68,38.60281580357578,32.021240317630436,23.175979604098668,0.558
