food_name,calories_x,carbohydrates_x,fiber_x,fats_x,glycemic_index,category,description,brand,food_category,sugars_x,proteins_x,serving_weight,restaurant_name,serving_size,serving_unit,calories_y,carbohydrates_y,sugars_y,fats_y,saturated_fats,cholesterol,sodium,fiber_y,potassium,proteins_y,calories_per_100g,carbs_per_100g,fats_per_100g,gi_category
boldbq sauce,,,,,,,,,,,,,Popeye's,1.350000023841858,oz,8.48,0.79,0.06,0.09,0.01,0.0,878.88,0.13,69.6,1.3,,,,Unknown
"bottle, light",,,,,,,,,,,,,Olive Garden,1.0,bottle,0.0,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,,,,Unknown
"bottle, regular",,,,,,,,,,,,,Olive Garden,1.0,bottle,0.0,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,,,,Unknown
bran cereal,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,Low
bread loaf,,,,,,,,,,,,,Tony Roma's,1.0,serving,330.71,14.13,6.06,18.17,6.38,122.85,843.71,1.23,537.69,26.68,,,,Unknown
"breadstick, plain",,,,,,,,,,,,,Olive Garden,1.0,ea,24.72,4.1,0.08,0.57,0.08,0.0,42.78,0.18,7.44,0.72,,,,Unknown
breakfast baconator,,,,,,,,,,,,,Wendy's,1.0,serving,157.14,30.01,,2.48,1.55,7.76,420.98,,516.04,4.56,,,,Unknown
breakfast biscuit,,,,,,,,,,,,,Church's Chicken,1.0,Serving,411.81,33.29,1.76,27.11,8.24,31.08,903.54,0.44,169.83,10.73,,,,Unknown
breakfast crepes,,,,,,,,,,,,,IHOP,1.0,Serving,656.82,72.25,1.45,28.07,12.26,230.14,1522.31,2.68,835.55,28.72,,,,Unknown
breakfast sampler,,,,,,,,,,,,,IHOP,1.0,Serving,879.33,27.21,5.68,67.13,20.57,689.92,1765.61,5.59,1068.89,42.84,,,,Unknown
brisket quesadilla,,,,,,,,,,,,,Chili's,1.0,Serving,1249.77,92.46,6.29,72.99,32.63,190.61,1803.98,7.21,875.45,54.9,,,,Unknown
broccoli,28.0,4.614,2.98,0.068,,Diabetic-Friendly Foods,BROCCOLI,GREAT VALUE,Frozen Vegetables,,2.35,,Outback Steakhouse,1.0,Serving,3.5,0.72,0.14,0.04,0.01,0.0,4.1,0.33,29.3,0.24,,,,Unknown
"broccoli cheddar, bread bowl",,,,,,,,,,,,,Panera Bread,1.0,Serving,320.11,28.69,1.57,16.58,9.44,47.19,354.25,2.84,391.45,15.04,,,,Unknown
broccoli slaw,,,,,,,,,,,,,TGI Friday's,1.0,Serving,9.5,2.03,0.8,0.08,0.01,0.0,10.84,0.74,79.52,0.56,,,,Unknown
brown rice,364.8,76.9,4.84,3.0460000000000003,,Diabetic-Friendly Foods,BROWN RICE,BIG WIN,Rice,,9.3,,,,,,,,,,,,,,,,,,Unknown
"brown rice, steamed",,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,Low
brownie,,,,,,,,,,,,,Panera Bread,1.0,Brownie,233.0,25.1,,14.55,3.66,36.5,171.5,,88.0,3.1,,,,Unknown
brownie obsession,,,,,,,,,,,,,TGI Friday's,1.0,Serving,233.0,25.1,,14.55,3.66,36.5,171.5,,88.0,3.1,,,,Unknown
brussels sprouts,47.0,8.47,3.5,0.188,,Diabetic-Friendly Foods,BRUSSELS SPROUTS,EAT SMART,Pre-Packaged Fruit & Vegetables,,3.53,,,,,,,,,,,,,,,,,,Unknown
buckwheat,622.3333333333334,61.55999999999999,7.4300000000000015,2.524,,Diabetic-Friendly Foods,Buckwheat,LIOR,Cereal Grains and Pasta,,13.2,,,,,,,,,,,,,,,,,,Unknown
buffalo chicken,,,,,,,,,,,,,Sweetgreen,1.0,Serving,229.75,0.78,0.46,7.29,3.05,110.88,267.6,0.12,403.96,37.87,,,,Unknown
buffalo wings,,,,,,,,,,,,,Smashburger,1.0,Serving,87.74,2.64,0.06,6.51,2.31,21.95,105.28,0.11,45.88,4.53,,,,Unknown
bulgur,522.0,53.9,9.4,1.2280000000000002,,Diabetic-Friendly Foods,BULGUR,MEIJER,Other Grains & Seeds,,12.5,,,,,,,,,,,,,,,,,,Unknown
"bulgur wheat, whole, cooked",,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,Low
bun,,,,,,,,,,,,,Five Guys,1.0,Serving,122.32,22.07,2.8,1.65,0.39,0.0,220.0,0.92,55.88,4.34,,,,Unknown
"burger & sandwich toppings, ihop sauce (1 ounce)",,,,,,,,,,,,,IHOP,1.0,Ounce,88.69,3.43,3.55,8.2,1.19,6.08,225.11,0.19,25.04,0.26,,,,Unknown
burger bites,,,,,,,,,,,,,Chili's,1.0,Serving,50.1,7.75,0.57,1.52,0.38,0.92,91.5,0.18,45.98,1.33,,,,Unknown
"burrito, puerto nuevo",,,,,,,,,,,,,Rubio's,1.0,Serving,701.86,74.2,5.39,23.91,11.24,133.53,1390.26,8.17,1149.78,46.53,,,,Unknown
butter beans,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,Low
"butterburger, double",,,,,,,,,,,,,Culver's,1.0,Order,342.89,40.94,5.29,16.83,7.32,0.0,447.32,4.86,224.07,8.74,,,,Unknown
"butterburger, single",,,,,,,,,,,,,Culver's,1.0,Order,65.52,1.85,1.3,4.85,2.8,16.38,274.89,0.0,59.43,3.6,,,,Unknown
"butterburger, triple",,,,,,,,,,,,,Culver's,1.0,Order,771.9,40.24,8.19,47.73,19.96,156.87,1586.13,1.25,572.7,45.32,,,,Unknown
"buttered noodles, regular",,,,,,,,,,,,,Noodles & Company,1.0,Serving,297.64,38.27,0.7,12.66,7.51,30.5,92.47,2.23,57.97,7.31,,,,Unknown
"buttered noodles, small",,,,,,,,,,,,,Noodles & Company,1.0,Serving,297.64,38.27,0.7,12.66,7.51,30.5,92.47,2.23,57.97,7.31,,,,Unknown
caesar,,,,,,,,,,,,,Sweetgreen,1.0,Serving,481.41,22.8,4.93,39.7,8.19,35.68,1151.94,5.75,612.82,10.21,,,,Unknown
caesar salad,,,,,,,,,,,,,Bertucci's,1.0,Serving,481.41,22.8,4.93,39.7,8.19,35.68,1151.94,5.75,612.82,10.21,,,,Unknown
caesar salad (side),,,,,,,,,,,,,Noodles & Company,1.0,Serving,481.41,22.8,4.93,39.7,8.19,35.68,1151.94,5.75,612.82,10.21,,,,Unknown
"caesar salad, full",,,,,,,,,,,,,Tony Roma's,1.0,salad with dressing,481.41,22.8,4.93,39.7,8.19,35.68,1151.94,5.75,612.82,10.21,,,,Unknown
cajun boneless tenders,,,,,,,,,,,,,Wingstop,1.0,each,63.5,4.37,2.27,1.7,0.07,31.19,680.4,0.23,197.88,7.65,,,,Unknown
cajun boneless wings,,,,,,,,,,,,,Wingstop,1.0,each,75.34,7.41,2.94,3.38,0.59,9.19,249.37,0.26,84.97,3.84,,,,Unknown
cajun chicken sandwich,,,,,,,,,,,,,Wingstop,1.0,each,419.52,41.65,5.17,20.66,3.74,44.08,937.84,2.13,272.08,16.63,,,,Unknown
cajun onion burger,,,,,,,,,,,,,Tony Roma's,1.0,burger,63.5,4.37,2.27,1.7,0.07,31.19,680.4,0.23,197.88,7.65,,,,Unknown
cajun wings,,,,,,,,,,,,,Wingstop,1.0,each,11.3,2.42,0.2,0.25,0.05,0.0,3267.43,0.83,50.62,0.46,,,,Unknown
